Nombre,Latitud,Longitud,Distancia_KM,Precio_Calculado,Colonia_Detectada_Google,Municipio,Estado
"CHICHIMA GUADALUPE",16.233687,-92.142222,1.95,45,"Popular Comitán","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Chichimá Guadalupe",16.2049101,-92.1217041,5.35,60,"N/A","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Chilcas",16.253317,-92.1164427,2.26,50,"Cerrito Concepción Segunda Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"CHILCAS",16.253317,-92.1164427,2.26,50,"Cerrito Concepción Segunda Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"COL ESMERALDA",16.264458,-92.136522,1.54,45,"N/A","Comitán de Domínguez","⚠️  SOSPECHOSA"
"COL LUIS DONALDO COLOSIO",16.2387,-92.1455,1.58,45,"Luis Donaldo Colosio","Comitán de Domínguez","✅ OK"
"Colinas del Sol",16.2242429,-92.1361245,2.93,50,"Miguel Alemán","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Colonia",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Colosio",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Comitan Colonial",16.2377997,-92.1586585,2.68,50,"Bosques de Comitán","Comitán de Domínguez","✅ OK"
"COMITAN COLONIAL",16.22165,-92.1333,3.25,50,"La Salud","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Comitán Colonial",16.2377997,-92.1586585,2.68,50,"Bosques de Comitán","Comitán de Domínguez","✅ OK"
"Comitlan",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"COMITLAN",16.22165,-92.1333,3.25,50,"La Salud","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Comitlán",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Concepción Bella Vista",16.2271152,-92.1428761,2.68,50,"N/A","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Concepción Yocnajab",16.2454652,-92.0711158,7.10,70,"N/A","Concepción Yocnajab","❌ FUERA_DE_COMITAN"
"Corrala",16.1651329,-92.0561037,12.87,70,"N/A","San Juan Copalar","❌ FUERA_DE_COMITAN"
"Cristóbal Colon",16.2436628,-92.1419553,0.91,45,"Cristóbal Colon","Comitán de Domínguez","✅ OK"
"Cruz de Phastón",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Cruz Grande",16.256882,-92.143183,0.93,45,"Cruz Grande","Comitán de Domínguez","✅ OK"
"CRUZ GRANDE",16.238557,-92.116389,2.61,50,"Los Sabinos","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Cruz Grande 2a Sección",16.256882,-92.143183,0.93,45,"Cruz Grande","Comitán de Domínguez","✅ OK"
"Cueva",16.2486908,-92.1536193,1.74,45,"La Cueva","Comitán de Domínguez","✅ OK"
"Cumpatá",16.2334336,-92.1358176,1.92,45,"Cumpata","Comitán de Domínguez","✅ OK"
"Desamparados",16.2513682,-92.1063683,3.31,50,"N/A","Comitán de Domínguez","⚠️  SOSPECHOSA"
"DESAMPARADOS",16.23215,-92.122437,2.60,50,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Doctor Manuel Velasco Suárez",16.1310882,-92.2279714,16.44,70,"N/A","Doctor Manuel Velasco Suárez","❌ FUERA_DE_COMITAN"
"Efraín A Gutiérrez",16.3445363,-92.1996909,12.38,70,"N/A","Efraín A. Gutiérrez","❌ FUERA_DE_COMITAN"
"Ejido",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"El Arenal",16.2393876,-92.1284535,1.57,45,"El Arenal","Comitán de Domínguez","✅ OK"
"El Bethel",16.2406579,-92.1115818,2.97,50,"Colonia El Bethel","Comitán de Domínguez","✅ OK"
"El Cedro",16.2632568,-92.1306012,1.58,45,"El Cedro","Comitán de Domínguez","✅ OK"
